epoch,accuracy,loss,val_accuracy,val_loss
19,0.875,0.3457573056221008,0.3125,1.2941396236419678
39,0.875,0.323230892419815,0.90625,0.2295364141464233
59,0.90625,0.1961186975240707,0.84375,0.1993449330329895
79,0.8125,0.5426519513130188,1.0,0.1010747253894805
99,0.96875,0.1926730424165725,0.90625,0.4813593626022339
119,0.875,0.2058322727680206,0.875,0.2466165423393249
139,0.96875,0.1308664083480835,0.90625,0.2048160135746002
159,0.84375,0.4078127443790436,0.6875,0.8011643290519714
179,0.9375,0.0910130515694618,0.9375,0.2307049930095672
199,0.96875,0.0776221305131912,0.875,0.4030253887176513
