epoch,accuracy,loss,val_accuracy,val_loss
0,0.34375,10.522966384887695,0.625,122.94140625
1,0.71875,94.92528533935547,0.875,21.100807189941406
2,0.78125,36.16670227050781,0.625,17.214859008789062
3,0.65625,16.09088706970215,0.25,13.550092697143555
4,0.34375,12.843647003173828,0.3125,2.172987461090088
5,0.1875,2.400416851043701,0.78125,6.013866424560547
6,0.78125,5.932155609130859,0.625,12.46966552734375
7,0.90625,2.869480848312378,0.78125,5.848072052001953
8,0.90625,2.5840659141540527,0.71875,4.3178277015686035
9,0.8125,2.820096969604492,0.34375,2.829163074493408
10,0.1875,3.8832778930664062,0.71875,2.581259250640869
11,0.6875,3.011335849761963,0.8125,2.3970255851745605
12,0.75,3.0937342643737793,0.75,2.366021156311035
13,0.6875,2.862947940826416,0.6875,0.7393138408660889
14,0.71875,0.6556243896484375,0.25,3.361438512802124
15,0.15625,3.762256622314453,0.65625,0.603661060333252
16,0.6875,0.5486884117126465,0.71875,1.1636861562728882
17,0.65625,1.5859758853912354,0.65625,1.423323392868042
18,0.6875,1.4005553722381592,0.84375,0.4269801378250122
19,0.875,0.34575730562210083,0.3125,1.2941396236419678
20,0.28125,1.4027605056762695,0.5625,0.6640370488166809
21,0.5,0.7721632719039917,0.8125,0.5302413105964661
22,0.75,0.742362380027771,0.6875,1.0420324802398682
23,0.78125,0.6960934996604919,0.71875,0.6617352366447449
24,0.78125,0.5164546370506287,0.84375,0.39281806349754333
25,0.8125,0.5237014293670654,0.78125,0.4833561182022095
26,0.59375,0.6951415538787842,0.78125,0.5927395820617676
27,0.875,0.4055021405220032,0.875,0.3916517496109009
28,0.84375,0.35821646451950073,0.875,0.2625167965888977
29,0.875,0.24934351444244385,0.84375,0.5351583361625671
30,0.75,0.5117422938346863,0.875,0.33272430300712585
31,0.8125,0.41574227809906006,0.78125,0.42193877696990967
32,0.71875,0.566864550113678,0.875,0.452320396900177
33,0.78125,0.50680011510849,0.8125,0.2873358428478241
34,0.8125,0.35559237003326416,0.71875,0.5281466841697693
35,0.8125,0.4006524682044983,0.84375,0.3510552644729614
36,0.84375,0.32796937227249146,0.78125,0.3354530930519104
37,0.9375,0.1652856469154358,0.84375,0.4876650869846344
38,0.90625,0.2628921866416931,0.90625,0.30103251338005066
39,0.875,0.32323089241981506,0.90625,0.22953641414642334
40,0.75,0.618251621723175,0.8125,0.34122657775878906
41,0.875,0.3434620797634125,0.6875,0.5958759784698486
42,0.84375,0.31527310609817505,0.96875,0.12048553675413132
43,0.9375,0.27721500396728516,0.875,0.2580772936344147
44,0.9375,0.18006324768066406,0.875,0.3538927435874939
45,0.875,0.3556165099143982,0.84375,0.2498483657836914
46,0.78125,0.4099012315273285,0.90625,0.25847405195236206
47,0.84375,0.34194374084472656,0.78125,0.4031375050544739
48,0.84375,0.31371307373046875,0.84375,0.2606850862503052
49,0.875,0.21259844303131104,0.90625,0.2976616621017456
50,0.8125,0.4864141643047333,0.875,0.26843520998954773
51,0.875,0.3151371479034424,0.90625,0.21438369154930115
52,0.90625,0.2327311784029007,0.9375,0.19683685898780823
53,0.84375,0.3330533504486084,0.96875,0.15860611200332642
54,0.9375,0.201320618391037,0.90625,0.308372437953949
