epoch,accuracy,loss,val_accuracy,val_loss
19,0.75,0.494202196598053,0.75,0.588445782661438
39,0.78125,0.52997887134552,0.75,0.396384060382843
59,0.96875,0.0892127603292465,0.9375,0.1284151971340179
79,0.9375,0.1800224483013153,0.84375,0.3028773367404938
99,1.0,0.0532998852431774,0.84375,0.3361454606056213
119,0.90625,0.3469772934913635,0.90625,0.2808594703674316
139,0.96875,0.0734185427427291,0.96875,0.1151962056756019
159,1.0,0.0787379145622253,0.9375,0.157121330499649
179,1.0,0.0388063341379165,0.96875,0.0449885874986648
199,0.875,0.2012107968330383,0.875,0.168368250131607
