epoch,accuracy,loss,val_accuracy,val_loss
19,0.75,0.5257854461669922,0.71875,0.5625848174095154
39,0.90625,0.3098035156726837,0.9375,0.2102743685245514
59,0.78125,0.6145333051681519,0.96875,0.2029216140508651
79,0.9375,0.1238880157470703,0.875,0.1818703860044479
99,1.0,0.062024712562561,1.0,0.0053700497373938
119,0.9375,0.2687635719776153,0.9375,0.1758545637130737
139,1.0,0.0189354233443737,0.9375,0.176739901304245
159,0.9375,0.1290921866893768,0.9375,0.3737824261188507
179,0.9375,0.1020367592573165,0.90625,0.1454774439334869
199,0.96875,0.1325770914554596,0.90625,0.1577105969190597
