epoch,accuracy,loss,val_accuracy,val_loss
19,0.84375,0.4745425879955292,0.71875,0.618274986743927
39,0.75,0.8232533931732178,0.71875,0.5345735549926758
59,0.96875,0.1809813678264618,0.875,0.2187220156192779
79,0.8125,0.2778125405311584,0.96875,0.0968899354338646
99,0.96875,0.0717358440160751,0.9375,0.1736824512481689
119,0.90625,0.1433996558189392,0.90625,0.2239544093608856
139,0.96875,0.0909902229905128,0.875,0.2462849020957946
159,0.875,0.2434217929840088,1.0,0.0530987866222858
179,0.875,0.3622295260429382,0.84375,0.3012100458145141
199,0.96875,0.0966342613101005,0.875,0.2592385709285736
