epoch,accuracy,loss,val_accuracy,val_loss
0,0.6875,7.797451972961426,0.28125,96.00264739990234
1,0.25,100.57295989990234,0.21875,49.331111907958984
2,0.25,46.31324768066406,0.25,2.8152215480804443
3,0.25,2.517090082168579,0.84375,5.393108367919922
4,0.6875,10.687851905822754,0.6875,14.010479927062988
5,0.625,16.432071685791016,0.625,14.059144973754883
6,0.8125,7.146974086761475,0.8125,4.921639442443848
7,0.84375,4.152864456176758,0.5625,5.2399983406066895
8,0.625,4.553951263427734,0.28125,4.03779935836792
9,0.34375,3.7251029014587402,0.46875,2.023318290710449
10,0.125,3.3682003021240234,0.84375,0.6451137065887451
11,0.5625,2.082961320877075,0.84375,1.0390597581863403
12,0.71875,2.236300468444824,0.84375,1.2700769901275635
13,0.71875,2.153428792953491,0.78125,1.2815004587173462
14,0.75,1.4497618675231934,0.75,0.8404317498207092
15,0.78125,0.748627781867981,0.59375,0.6456433534622192
16,0.6875,0.6685789227485657,0.3125,1.095597505569458
17,0.25,1.2812926769256592,0.65625,0.6414777040481567
18,0.6875,0.6517090797424316,0.5625,0.8619503974914551
19,0.625,0.693647027015686,0.75,0.7329987287521362
20,0.84375,0.4106866717338562,0.84375,0.5104972720146179
21,0.75,0.7690011262893677,0.8125,0.4776514172554016
22,0.75,0.738732099533081,0.78125,0.45703646540641785
23,0.75,0.6781367063522339,0.75,0.4185952842235565
24,0.84375,0.3904065489768982,0.6875,0.5867053866386414
25,0.84375,0.49764251708984375,0.78125,0.5186212062835693
26,0.65625,0.671433687210083,0.75,0.565299928188324
27,0.59375,0.6813212633132935,0.75,0.5036121606826782
28,0.78125,0.49053657054901123,0.75,0.3904370367527008
29,0.6875,0.5114739537239075,0.8125,0.35584354400634766
30,0.6875,0.5198158621788025,0.65625,0.576850414276123
31,0.90625,0.23927715420722961,0.78125,0.4493587017059326
32,0.84375,0.3267883360385895,0.71875,0.5306363105773926
33,0.6875,0.6127282381057739,0.75,0.48343104124069214
34,0.8125,0.4349270164966583,0.8125,0.39772510528564453
35,0.78125,0.405847430229187,0.875,0.4232792258262634
36,0.875,0.4356137812137604,0.8125,0.44217449426651
37,0.84375,0.3702957332134247,0.84375,0.39285677671432495
38,0.78125,0.37701693177223206,0.90625,0.28023964166641235
39,0.875,0.351439505815506,0.84375,0.3483884036540985
40,0.875,0.3242807388305664,0.9375,0.29966244101524353
41,0.78125,0.44385960698127747,0.9375,0.2428063005208969
42,0.875,0.3366261124610901,0.71875,0.41121548414230347
43,0.96875,0.1689072549343109,0.9375,0.21855983138084412
44,0.71875,0.5379905700683594,0.90625,0.2634105086326599
45,0.75,0.4683484137058258,0.9375,0.2717035710811615
46,0.84375,0.316875696182251,0.9375,0.28734129667282104
47,0.875,0.350275456905365,0.9375,0.24914884567260742
48,0.90625,0.21894478797912598,0.875,0.32658204436302185
49,0.84375,0.2832534909248352,0.875,0.22868922352790833
50,0.875,0.21036753058433533,0.875,0.2304186373949051
51,0.8125,0.24700826406478882,0.875,0.2794855833053589
52,0.75,0.43005669116973877,0.9375,0.2880600094795227
53,0.84375,0.2583710551261902,0.8125,0.5319560766220093
54,0.84375,0.49266889691352844,0.8125,0.40714991092681885
55,0.84375,0.3980862498283386,0.84375,0.30341804027557373
56,0.8125,0.4828127324581146,0.9375,0.13035133481025696
57,0.90625,0.2136181890964508,0.875,0.20119664072990417
58,0.90625,0.2221890687942505,0.90625,0.20296317338943481
59,0.96875,0.18049752712249756,0.90625,0.3113926649093628
