epoch,accuracy,loss,val_accuracy,val_loss
19,0.625,0.693647027015686,0.75,0.7329987287521362
39,0.875,0.351439505815506,0.84375,0.3483884036540985
59,0.96875,0.1804975271224975,0.90625,0.3113926649093628
79,0.84375,0.2819750905036926,0.96875,0.1434484273195266
99,0.90625,0.2011487632989883,0.84375,0.3023789525032043
119,0.96875,0.0847061648964881,0.90625,0.1609571278095245
139,0.96875,0.1755445301532745,0.96875,0.125499427318573
159,0.90625,0.1692530214786529,0.90625,0.2432669699192047
179,0.9375,0.1400722414255142,1.0,0.0312990806996822
199,0.9375,0.1280377060174942,0.9375,0.1735387295484542
