epoch,accuracy,loss,val_accuracy,val_loss
19,0.8125,0.3721905350685119,0.75,0.5020911693572998
39,1.0,0.1496351957321167,0.90625,0.2726501524448395
59,0.96875,0.1251842379570007,0.9375,0.1769808381795883
79,0.9375,0.1670940667390823,0.90625,0.205791488289833
99,0.875,0.2534051537513733,0.9375,0.1199183166027069
119,0.96875,0.1376539766788482,0.90625,0.2201812416315078
139,0.96875,0.0917446911334991,0.84375,0.3298131227493286
159,1.0,0.0387775115668773,0.875,0.2238315045833587
179,0.9375,0.082488015294075,0.96875,0.079827144742012
199,0.96875,0.0898917764425277,1.0,0.0342151708900928
